Modell;MSE;RMSE
linear_regression-JDAMTHW;103.04046613625884;10.150884992760918
linear_regression-DAW;117.3689880802549;10.833696879655388
linear_regression-JDAW;114.38762625913222;10.695215110465623
linear_regression-DAMW;114.98137216702344;10.722936732398614
linear_regression-DATW;112.03057438949088;10.58444964981604
linear_regression-DAHW;107.3024901594681;10.358691527382602
linear_regression-JDAMW;111.83211414013184;10.575070408282484
linear_regression-JDATW;110.11987149203556;10.49380157483624
linear_regression-JDAHW;107.3250994515896;10.359782789788095
linear_regression-DAMTW;108.76744500413686;10.429163197694091
linear_regression-DAMHW;104.6844879158956;10.23154376992522
linear_regression-DATHW;106.13901065807045;10.302378883445824
linear_regression-JDAMTW;106.77731979147782;10.333311172682151
linear_regression-JDAMHW;104.643818164317;10.22955610788254
linear_regression-JDATHW;106.1587516272982;10.30333691710109
linear_regression-DAMTHW;103.09571199716304;10.153605861818896
linear_regression-JDAMTHW-G;103.5817302347321;10.177511003911128
linear_regression-DAW-G;117.67441921478743;10.847784069328972
linear_regression-JDAW-G;114.63256377205512;10.70665978594889
linear_regression-DAMW-G;115.22578709739771;10.734327510254086
linear_regression-DATW-G;112.49464989582708;10.606349508470249
linear_regression-DAHW-G;107.72335696974766;10.378986317061395
linear_regression-JDAMW-G;112.0337823443252;10.584601189668188
linear_regression-JDATW-G;110.53716494848284;10.51366562852761
linear_regression-JDAHW-G;107.8313374161445;10.3841868923929
linear_regression-DAMTW-G;109.20618382417716;10.450176258043552
linear_regression-DAMHW-G;105.07924990582804;10.250817036013668
linear_regression-DATHW-G;106.61305132148247;10.325359621896103
linear_regression-JDAMTW-G;107.18241617806224;10.352894096727844
linear_regression-JDATHW-G;106.70688590397673;10.329902511833144
linear_regression-DAMTHW-G;103.55196354429708;10.176048523090731
linear_regression-JDAMHW-G;105.13504373853726;10.253538108308629
decision_tree-JDAMTHW;89.62;9.466784036831092
decision_tree-DAW;77.24;8.788629017087933
decision_tree-JDAW;93.51;9.67005687677172
decision_tree-DAMW;177.76;13.332666649999169
decision_tree-DATW;77.26;8.789766777338293
decision_tree-DAHW;65.61;8.1
decision_tree-JDATW;74.51;8.631917515824627
decision_tree-JDAHW;27.36;5.230678732248808
decision_tree-DAMTW;99.03;9.951381813597546
decision_tree-DAMHW;103.95;10.195587280779858
decision_tree-DATHW;56.47;7.514652353901676
decision_tree-JDAMTW;62.27;7.891134265744057
decision_tree-JDAMHW;34.66;5.88727441181401
decision_tree-JDATHW;39.68;6.299206299209449
decision_tree-DAMTHW;72.81;8.532877591996735
decision_tree-JDAMW;79.81;8.93364427319557
decision_tree-JDAMTHW-G;67.08;8.190238091777308
decision_tree-JDAW-G;62.52638888888889;7.907362954164232
decision_tree-DAMW-G;135.7025;11.649141599276746
decision_tree-DATW-G;144.81;12.033702672078949
decision_tree-DAHW-G;109.91;10.483797022071728
decision_tree-JDAMW-G;101.8525;10.092199958383702
decision_tree-JDATW-G;121.29;11.0131739294356
decision_tree-JDAHW-G;67.16;8.19512049941915
decision_tree-DAMTW-G;125.17;11.1879399354841
decision_tree-DAMHW-G;76.24;8.73155198117723
decision_tree-DATHW-G;108.81;10.431203190428226
decision_tree-JDAMTW-G;122.18;11.05350623105628
decision_tree-JDAMHW-G;96.98;9.847842403288144
decision_tree-JDATHW-G;76.9;8.769264507357502
decision_tree-DAMTHW-G;60.63;7.786526825228306
decision_tree-DAW-G;71.03388888888888;8.428160468862044
random_forest-JDAMTHW;45.430413;6.740208676294823
random_forest-DAW;55.325893367346936;7.438137762057579
random_forest-JDAW;49.85115084027779;7.060534741808002
random_forest-DAMW;58.854487;7.671667810847913
random_forest-DATW;46.72671600000002;6.835694258815268
random_forest-DAHW;61.97547300000001;7.872450253891733
random_forest-JDAMW;39.246664;6.264715795628721
random_forest-JDATW;40.678253;6.37795053289064
random_forest-JDAHW;49.934357;7.066424626358085
random_forest-DAMTW;59.276640000000015;7.699132418656014
random_forest-DAMHW;66.882418;8.178167154075538
random_forest-DATHW;59.754564000000016;7.730107631850932
random_forest-DAMTHW;62.09118600000001;7.879796063350879
random_forest-JDAMTW;48.459390000000006;6.9612778999261335
random_forest-JDAMHW;50.482176;7.105080998834566
random_forest-JDATHW;44.60439300000001;6.678652034654898
random_forest-JDAMTHW-G;50.651592;7.116993185327635
random_forest-DAW-G;60.77322837921344;7.795718592869642
random_forest-JDAW-G;52.6146434016413;7.253595205251069
random_forest-DAMW-G;53.24378445972789;7.296833865432863
random_forest-DATW-G;58.82671811277778;7.669857763529763
random_forest-DAHW-G;75.80485;8.706598072726225
random_forest-JDAMW-G;44.93771443583335;6.703559833091172
random_forest-JDATW-G;43.36172436805555;6.5849619868345135
random_forest-JDAHW-G;57.234706;7.565362251736528
random_forest-DAMTW-G;55.82755900000001;7.471784191208951
random_forest-DAMHW-G;60.98449199999999;7.809256814831997
random_forest-DATHW-G;62.454350000000005;7.90280646352927
random_forest-JDAMTW-G;44.502237;6.670999700194866
random_forest-JDAMHW-G;55.26213099999999;7.433850348238118
random_forest-JDATHW-G;56.49337699999999;7.516207620868385
random_forest-DAMTHW-G;65.782207;8.110623095669037
neural_network-JDAMTHW;34.08125504890096;5.837915299908089
neural_network-DAW;84.91658866131047;9.21501973200874
neural_network-JDAW;63.926226688367294;7.995387838520862
neural_network-DAMW;67.60210836397233;8.222050131443638
neural_network-DATW;78.5763297694237;8.864329064820625
neural_network-DAHW;79.51208489486571;8.916954911564021
neural_network-JDAMW;49.08432880100705;7.006020896415243
neural_network-JDATW;61.32021957878494;7.830722800532843
neural_network-JDAHW;73.67620800529093;8.58348460738941
neural_network-DAMTW;52.61696553547444;7.253755271269802
neural_network-DAMHW;62.47665123856496;7.904217307144646
neural_network-DATHW;73.39206041987242;8.56691662267542
neural_network-JDAMTW;41.076585928271015;6.409101803550246
neural_network-JDAMHW;57.927713003205696;7.611025752367791
neural_network-JDATHW;66.28145882514681;8.141342568959177
neural_network-DAMTHW;58.50524663785135;7.648872246145268
neural_network-JDAMTHW-G;53.37709055808681;7.305962671550328
neural_network-DAW-G;88.36154430668688;9.400082143613792
neural_network-JDAW-G;68.06612472455579;8.250219677351373
neural_network-DAMW-G;71.02257261868631;8.427489105225014
neural_network-DATW-G;78.73797386333848;8.873442052740215
neural_network-DAHW-G;83.76794794828447;9.152483157497995
neural_network-JDAMW-G;52.24549799885799;7.228104730761584
neural_network-JDATW-G;64.75241461344898;8.046888505096176
neural_network-JDAHW-G;74.73246816801002;8.644794281416418
neural_network-DAMTW-G;55.27082879465056;7.43443533798301
neural_network-DAMHW-G;69.3719121053734;8.328980256032152
neural_network-JDAMTW-G;43.425599474130976;6.589810276034582
neural_network-JDAMHW-G;59.13328057237667;7.689816680024087
neural_network-JDATHW-G;64.29532016842184;8.01843626702999
neural_network-DAMTHW-G;56.18161060153302;7.495439320115468
neural_network-DATHW-G;73.67656104692216;8.583505172534247
xgboost-JDAMTHW;32.735424559202045;5.721487967233878
xgboost-DAW;57.60108385839724;7.589537789509796
xgboost-JDAW;50.98796135482328;7.140585505042516
xgboost-DAMW;48.8351424559427;6.988214539919528
xgboost-DATW;49.14024345227127;7.010010231966232
xgboost-DAHW;70.725339921507;8.409835903363811
xgboost-JDAMW;41.0378613319737;6.406080028533339
xgboost-JDATW;46.27386950708406;6.802489949061598
xgboost-JDAHW;61.54572467264481;7.84510832765519
xgboost-DAMTW;63.73825854952462;7.9836243993267
xgboost-DAMHW;75.98641111335114;8.71701847613914
xgboost-DATHW;57.42877783789682;7.578177738605556
xgboost-JDAMTW;41.09709025465688;6.4107012295580335
xgboost-JDAMHW;42.394523605883926;6.511107709590122
xgboost-JDATHW;48.33243555226249;6.9521533032767975
xgboost-DAMTHW;60.89358147451747;7.803433954004959
xgboost-JDAMTHW-G;53.59216601973392;7.32066704745776
xgboost-DAW-G;76.45092338908422;8.743621869058853
xgboost-JDAW-G;74.75876849368889;8.646315313108174
xgboost-DAMW-G;42.85653722262211;6.5464904508157735
xgboost-DATW-G;53.25105675046545;7.297332166652787
xgboost-DAHW-G;114.216316229935;10.687203386758156
xgboost-JDAMW-G;40.95064103553783;6.399268789130351
xgboost-JDATW-G;42.9548754155125;6.553996903837573
xgboost-JDAHW-G;83.76698803363442;9.152430717226675
xgboost-DAMTW-G;59.7490207650138;7.729749075164976
xgboost-DAMHW-G;79.75747934860122;8.930704303054783
xgboost-DATHW-G;71.5200933030107;8.456955321095808
xgboost-JDAMTW-G;39.02416761842464;6.246932656786419
xgboost-JDAMHW-G;70.1401572677152;8.374972075637936
xgboost-JDATHW-G;52.67841683353544;7.257989861768576
