Startdatum,Enddatum,Ort,Anzahl der Waldbrände,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar
2010-01-01,2010-01-31,Baden-Wurttemberg,0,4,31,-2.2709677419354835,13.87741935483871,2.1032258064516127,92.5483870967742,1352564
2010-01-01,2010-01-31,Bayern,0,4,31,-5.516129032258066,12.119354838709675,1.841935483870968,95.12903225806453,2487176
2010-01-01,2010-01-31,Berlin,0,4,31,-5.4,18.641935483870967,1.4570967741935488,97.12903225806453,15752
2010-01-01,2010-01-31,Brandenburg,0,4,31,-5.293548387096774,19.880645161290325,1.2806451612903225,96.48387096774194,1030796
2010-01-01,2010-01-31,Bremen,0,4,31,-3.161290322580645,21.85483870967742,0.9870967741935484,93.09677419354838,461
2010-01-01,2010-01-31,Hamburg,0,4,31,-3.709677419354838,21.967741935483872,1.132258064516129,93.96774193548389,4016
2010-01-01,2010-01-31,Hessen,0,4,31,-2.1483870967741927,13.864516129032255,1.867741935483871,91.35483870967742,839306
2010-01-01,2010-01-31,Mecklenburg-Vorpommern,0,4,31,-3.719354838709677,25.290322580645164,1.6,92.4516129032258,490225
2010-01-01,2010-01-31,Niedersachsen,0,4,31,-4.138709677419355,21.393548387096768,1.0548387096774192,94.6774193548387,1014470
2010-01-01,2010-01-31,Nordrhein-Westfalen,0,4,31,-1.864516129032258,19.2,1.2387096774193551,92.19354838709675,849507
2010-01-01,2010-01-31,Rheinland-Pfalz,0,4,31,-2.2258064516129026,15.493548387096771,1.7064516129032257,92.93548387096774,805440
2010-01-01,2010-01-31,Saarland,0,4,31,-2.6516129032258062,16.33225806451613,1.7225806451612902,93.25806451612904,85623
2010-01-01,2010-01-31,Sachsen,0,4,31,-5.748387096774192,16.73225806451613,1.876774193548388,96.6774193548387,495184
2010-01-01,2010-01-31,Sachsen-Anhalt,0,4,31,-5.37741935483871,18.5258064516129,1.467741935483871,96.5483870967742,456545
2010-01-01,2010-01-31,Schleswig-Holstein,0,4,31,-3.0354838709677416,25.012903225806458,1.164516129032258,91.7741935483871,162014
2010-01-01,2010-01-31,Thuringen,0,4,31,-6.025806451612905,15.938709677419356,1.2870967741935486,96.4516129032258,527936
2010-02-01,2010-02-28,Baden-Wurttemberg,0,4,28,0.5535714285714285,18.482142857142858,2.692857142857143,94.28571428571428,1352564
2010-02-01,2010-02-28,Bayern,0,4,28,-3.150000000000001,13.853571428571428,2.272857142857143,96.89285714285714,2487176
2010-02-01,2010-02-28,Berlin,0,4,28,-1.1392857142857142,17.08928571428572,0.9964285714285716,97.89285714285714,15752
2010-02-01,2010-02-28,Brandenburg,0,4,28,-1.2142857142857135,19.435714285714287,1.3,97.07142857142856,1030796
2010-02-01,2010-02-28,Bremen,0,4,28,-0.7321428571428573,23.014285714285712,2.407142857142857,95.03571428571428,461
2010-02-01,2010-02-28,Hamburg,0,4,28,-1.7178571428571423,21.810714285714287,2.08,96.82142857142856,4016
2010-02-01,2010-02-28,Hessen,0,4,28,0.3714285714285715,18.55,2.427142857142857,93.5,839306
2010-02-01,2010-02-28,Mecklenburg-Vorpommern,0,4,28,-1.5071428571428571,24.23214285714285,1.7485714285714289,95.60714285714286,490225
2010-02-01,2010-02-28,Niedersachsen,0,4,28,-1.6,21.74642857142857,1.8482142857142847,96.53571428571428,1014470
2010-02-01,2010-02-28,Nordrhein-Westfalen,0,4,28,0.3821428571428574,22.235714285714284,2.6317857142857144,94.78571428571428,849507
2010-02-01,2010-02-28,Rheinland-Pfalz,0,4,28,0.6285714285714284,19.82142857142857,3.2571428571428576,93.35714285714286,805440
2010-02-01,2010-02-28,Saarland,0,4,28,0.1642857142857141,20.582142857142856,3.400714285714286,94.0,85623
2010-02-01,2010-02-28,Sachsen,0,4,28,-2.071428571428571,17.310714285714287,0.8571428571428571,97.39285714285714,495184
2010-02-01,2010-02-28,Sachsen-Anhalt,0,4,28,-1.2464285714285712,19.62857142857143,1.292857142857143,96.17857142857144,456545
2010-02-01,2010-02-28,Schleswig-Holstein,0,4,28,-1.6571428571428568,23.635714285714283,1.705714285714286,96.14285714285714,162014
2010-02-01,2010-02-28,Thuringen,0,4,28,-1.9892857142857143,18.12857142857143,1.3107142857142855,96.78571428571428,527936
2010-03-01,2010-03-31,Baden-Wurttemberg,3,1,31,4.3516129032258055,18.887096774193544,1.9774193548387096,84.80645161290323,1352564
2010-03-01,2010-03-31,Bayern,3,1,31,0.7967741935483867,16.906451612903226,2.440967741935484,92.61290322580643,2487176
2010-03-01,2010-03-31,Berlin,0,1,31,4.5129032258064505,19.054838709677423,1.632258064516129,82.2258064516129,15752
