Startdatum,Enddatum,Ort,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar,Anzahl der Waldbrände
2017-05-01,2017-05-31,Schleswig-Holstein,1,31,12.5,22.1,2.0,80.4,162014,0
2011-03-01,2011-03-31,Nordrhein-Westfalen,1,31,5.7,16.1,0.6,78.8,849507,1
2020-09-01,2020-09-30,Saarland,3,30,15.7,12.1,1.5,73.5,85623,0
2020-04-01,2020-04-30,Bremen,1,30,9.2,17.9,0.6,74.1,461,0
2013-07-01,2013-07-31,Hessen,2,31,20.8,13.0,2.0,72.5,839306,21
2013-08-01,2013-08-31,Mecklenburg-Vorpommern,2,31,18.6,17.8,1.3,68.4,490225,4
2015-11-01,2015-11-30,Bremen,3,30,8.8,28.6,3.9,83.5,461,0
2020-04-01,2020-04-30,Baden-Wurttemberg,1,30,12.8,12.9,0.3,64.6,1352564,17
2012-12-01,2012-12-31,Bremen,4,31,2.0,24.1,3.0,92.5,461,0
2013-05-01,2013-05-31,Rheinland-Pfalz,1,31,10.7,14.8,5.1,87.7,805440,2
2017-03-01,2017-03-31,Saarland,1,31,7.2,20.8,2.9,85.6,85623,0
2022-12-01,2022-12-31,Berlin,4,31,2.0,16.4,2.0,84.5,15776,0
2018-01-01,2018-01-31,Brandenburg,4,31,3.6,21.1,2.4,82.4,1030796,0
2015-05-01,2015-05-31,Brandenburg,1,31,13.0,22.1,0.9,69.5,1030796,34
2022-11-01,2022-11-30,Sachsen-Anhalt,3,30,6.9,15.7,1.1,78.7,460769,0
2011-08-01,2011-08-31,Schleswig-Holstein,2,31,16.1,19.4,5.8,88.6,162014,0
2014-11-01,2014-11-30,Nordrhein-Westfalen,3,30,7.4,16.4,1.7,89.0,849507,0
2016-12-01,2016-12-31,Hessen,4,31,1.9,7.5,0.2,77.1,839306,0
2012-03-01,2012-03-31,Hessen,1,31,7.7,12.3,0.7,78.2,839306,18
2019-01-01,2019-01-31,Sachsen,4,31,-0.0,22.9,3.1,80.3,495184,0
2022-02-01,2022-02-28,Niedersachsen,4,28,4.8,26.6,4.2,80.9,1032694,0
2020-02-01,2020-02-29,Bremen,4,29,5.2,30.9,4.4,81.9,461,0
2016-12-01,2016-12-31,Niedersachsen,4,31,3.5,21.9,1.2,87.1,1014470,0
2015-08-01,2015-08-31,Brandenburg,2,31,21.6,18.3,2.3,62.5,1030796,85
2018-08-01,2018-08-31,Baden-Wurttemberg,2,31,22.0,11.9,0.8,65.1,1352564,8
2012-04-01,2012-04-30,Bayern,1,30,6.1,13.0,3.3,82.3,2487176,12
2015-02-01,2015-02-28,Schleswig-Holstein,4,28,2.0,25.3,1.5,87.6,162014,0
2014-02-01,2014-02-28,Berlin,4,28,4.1,18.2,0.6,82.7,15752,0
2018-03-01,2018-03-31,Bremen,1,31,2.9,21.6,1.4,73.9,461,0
2021-08-01,2021-08-31,Bremen,2,31,16.5,18.7,3.9,80.5,436,0
2013-10-01,2013-10-31,Mecklenburg-Vorpommern,3,31,11.0,23.2,1.8,84.1,490225,0
2019-09-01,2019-09-30,Niedersachsen,3,30,14.3,16.3,2.2,78.1,1014470,14
2020-05-01,2020-05-31,Bremen,1,31,11.1,18.2,1.0,79.6,461,0
2010-07-01,2010-07-31,Baden-Wurttemberg,2,31,21.1,11.7,2.6,67.7,1352564,1
2010-12-01,2010-12-31,Berlin,4,31,-5.4,17.1,2.3,98.3,15752,0
2019-06-01,2019-06-30,Bayern,2,30,18.8,9.7,2.6,73.9,2487176,19
2017-09-01,2017-09-30,Hamburg,3,30,13.9,16.1,2.9,81.2,4016,0
2019-08-01,2019-08-31,Sachsen-Anhalt,2,31,21.0,14.5,1.7,65.7,456545,31
2017-06-01,2017-06-30,Sachsen,2,30,18.4,19.0,3.1,75.7,495184,10
2021-05-01,2021-05-31,Bayern,1,31,9.3,10.5,6.2,82.1,2492436,2
2019-05-01,2019-05-31,Schleswig-Holstein,1,31,10.2,22.5,1.9,79.6,162014,0
2018-08-01,2018-08-31,Schleswig-Holstein,2,31,18.2,20.2,2.2,74.2,162014,1
2022-10-01,2022-10-31,Sachsen,3,31,12.8,14.9,1.3,74.9,494914,1
2021-08-01,2021-08-31,Nordrhein-Westfalen,2,31,17.1,16.3,2.4,75.8,845939,7
2018-10-01,2018-10-31,Brandenburg,3,31,11.8,17.6,0.4,72.3,1030796,15
2019-10-01,2019-10-31,Bremen,3,31,11.0,20.7,4.7,86.1,461,0
2010-12-01,2010-12-31,Sachsen,4,31,-6.1,19.5,3.5,97.6,495184,0
2013-03-01,2013-03-31,Berlin,1,31,-1.6,17.8,1.2,88.1,15752,0
2018-08-01,2018-08-31,Niedersachsen,2,31,20.2,15.8,1.1,63.6,1014470,23
2021-06-01,2021-06-30,Bremen,2,30,17.8,14.6,3.4,81.4,436,0
2021-12-01,2021-12-31,Mecklenburg-Vorpommern,4,31,2.2,24.0,2.0,89.8,495207,0
2017-05-01,2017-05-31,Brandenburg,1,31,14.5,18.3,1.1,80.5,1030796,55
2012-12-01,2012-12-31,Sachsen,4,31,-0.6,18.8,2.8,91.6,495184,0
2010-11-01,2010-11-30,Sachsen-Anhalt,3,30,4.5,18.6,4.0,93.4,456545,0
2014-05-01,2014-05-31,Sachsen-Anhalt,1,31,13.3,17.2,3.3,76.1,456545,4
2011-09-01,2011-09-30,Bremen,3,30,15.0,17.7,1.6,84.6,461,0
2014-06-01,2014-06-30,Saarland,2,30,16.5,13.4,1.5,71.6,85623,0
2011-09-01,2011-09-30,Sachsen,3,30,15.8,13.1,2.8,77.3,495184,1
2014-10-01,2014-10-31,Thuringen,3,31,11.1,13.3,1.9,85.9,527936,0
2015-01-01,2015-01-31,Sachsen-Anhalt,4,31,2.4,25.4,2.2,86.2,456545,0
2018-02-01,2018-02-28,Niedersachsen,4,28,-0.9,14.8,0.4,74.1,1014470,1
2016-08-01,2016-08-31,Hessen,2,31,19.6,10.5,1.5,75.1,839306,7
2016-04-01,2016-04-30,Mecklenburg-Vorpommern,1,30,7.6,24.1,2.0,76.6,490225,2
2015-06-01,2015-06-30,Brandenburg,2,30,16.3,19.6,1.7,67.0,1030796,71
2015-03-01,2015-03-31,Sachsen,1,31,5.2,21.4,1.8,75.0,495184,4
2018-04-01,2018-04-30,Schleswig-Holstein,1,30,9.0,22.6,2.7,82.3,162014,0
2022-06-01,2022-06-30,Saarland,2,30,17.9,14.0,3.3,71.3,87481,2
2018-11-01,2018-11-30,Bayern,3,30,4.0,8.3,1.3,81.5,2487176,3
2012-07-01,2012-07-31,Baden-Wurttemberg,2,31,18.1,14.8,3.1,81.4,1352564,6
2012-05-01,2012-05-31,Berlin,1,31,15.3,18.6,2.0,66.1,15752,0
2022-04-01,2022-04-30,Nordrhein-Westfalen,1,30,8.9,20.3,2.1,70.3,845939,16
2022-08-01,2022-08-31,Brandenburg,2,31,21.8,13.6,2.1,58.8,1034252,81
2015-06-01,2015-06-30,Rheinland-Pfalz,2,30,17.1,15.8,1.1,73.0,805440,6
2011-04-01,2011-04-30,Hessen,1,30,12.3,11.6,0.7,69.1,839306,18
2010-11-01,2010-11-30,Niedersachsen,3,30,4.2,19.1,2.6,93.6,1014470,0
2015-09-01,2015-09-30,Sachsen,3,30,13.8,16.9,1.7,74.7,495184,2
2011-09-01,2011-09-30,Bayern,3,30,13.1,10.7,4.3,86.8,2487176,1
2016-12-01,2016-12-31,Hamburg,4,31,4.0,22.1,1.4,87.5,4016,0
2018-03-01,2018-03-31,Saarland,1,31,3.3,17.7,2.6,81.0,85623,0
2018-02-01,2018-02-28,Schleswig-Holstein,4,28,-0.5,19.4,0.8,79.5,162014,0
2020-01-01,2020-01-31,Schleswig-Holstein,4,31,5.1,25.7,2.4,89.2,162014,0
2015-01-01,2015-01-31,Berlin,4,31,2.3,22.3,2.3,89.6,15752,0
2017-06-01,2017-06-30,Rheinland-Pfalz,2,30,18.9,15.7,2.0,78.9,805440,8
2017-03-01,2017-03-31,Brandenburg,1,31,7.1,20.1,1.7,81.0,1030796,11
2022-02-01,2022-02-28,Hamburg,4,28,4.8,28.5,5.3,82.3,4270,0
2015-05-01,2015-05-31,Nordrhein-Westfalen,1,31,12.3,23.5,1.3,72.4,849507,3
2021-01-01,2021-01-31,Mecklenburg-Vorpommern,4,31,1.2,24.9,2.3,88.2,495207,0
2015-12-01,2015-12-31,Thuringen,4,31,5.1,18.8,0.7,90.5,527936,1
2015-06-01,2015-06-30,Mecklenburg-Vorpommern,2,30,14.6,24.0,1.3,73.2,490225,6
2016-08-01,2016-08-31,Nordrhein-Westfalen,2,31,18.2,18.2,1.5,78.1,849507,2
2017-03-01,2017-03-31,Thuringen,1,31,6.2,16.9,1.4,84.6,527936,1
